TV,Internet,Mailing,Members,Region
460.2,75.6,138.4,44.2,Central
89,78.6,90.2,20.8,South
34.4,91.8,138.6,18.6,Central
303,82.6,117,37,East
361.6,21.6,116.8,25.8,South
17.4,97.8,150,14.4,East
115,65.6,47,23.6,West
240.4,39.2,23.2,26.4,South
17.2,4.2,2,9.6,Central
399.6,5.2,42.4,21.2,South
132.2,11.6,48.4,17.2,South
429.4,48,8,34.8,South
47.6,70.2,131.8,18.4,West
195,15.2,14.4,19.4,Central
408.2,65.8,92,38,Central
390.8,95.4,105.8,44.8,Central
135.6,73.2,228,25,East
562.8,79.2,111.6,48.8,Central
138.4,41,36.6,22.6,West
294.6,47.8,38.2,29.2,West
436.8,55.4,106.8,36,West
474.8,10.2,47,25,Central
26.4,31.8,99.2,11.2,Central
456.6,33.8,52.4,31,Central
124.6,25.2,36.6,19.4,East
525.8,7,39,24,South
285.8,58.6,25.2,30,South
480.2,33.4,45.8,31.8,South
497.6,54.2,45.8,37.8,East
141.2,32,81.6,21,Central
585.8,56.6,86.4,42.8,South
225.8,34.8,77.2,23.8,South
194.4,3,60,19.2,Central
531.2,40,0.6,34.8,Central
191.4,2.8,14.8,19,South
581.4,8.2,17,25.6,Central
533.8,87.6,10,50.8,Central
149.4,98.8,91.4,29.4,West
86.2,53.4,70.2,20.2,Central
456,75.4,64,43,East
405,44.6,63.2,33.2,Central
354,66.8,77.4,34.2,East
587.2,55.4,3.6,41.4,Central
413.8,16.8,52.8,25.8,East
50.2,51.4,86.6,17,East
350.2,45,63,29.8,Central
179.4,19.8,71.4,21.2,Central
479.8,83,37,46.4,South
454.4,31.6,99.8,29.6,West
133.8,23.4,73.6,19.4,South
399.6,6.2,69.2,22.8,West
200.8,19.2,7.2,21.4,South
432.8,83.4,79.2,45.2,East
365.2,92.4,117.4,42.4,Central
525.4,57.6,31.8,40.4,South
397.8,98.8,120,47.4,Central
14.6,56.2,82.8,11,West
272.4,38.4,33.2,26.4,West
421.6,99.2,75.4,47.6,West
421.4,59,18.6,36.8,Central
107,4,42.8,16.2,East
522.6,85.4,109.4,48.4,South
478.6,31,54.6,31.4,South
205.4,59.2,16.8,28,South
262.2,85.6,57.8,36,West
138,18.6,1.8,18.6,West
63,49.2,4.4,19,East
278.6,29,20.4,26.8,West
474.8,55,22,37.8,West
433.6,87.8,54.4,44.6,South
398.2,61.2,77.4,36.6,East
219.6,28.6,63.4,24.8,East
53.6,66,38.6,17.6,West
258.8,11.4,62.6,22,West
426.8,49.2,26.2,34,South
33.8,87.4,178.8,17.4,West
55,3.2,41.4,13.8,Central
241,57,28.4,28.4,West
10.8,59.8,18.8,10.6,South
232,15.4,46.2,22,South
152.8,53.4,44.6,23.6,Central
479.6,8.2,73.8,24.6,West
150.6,40.6,65,22.6,East
136.8,89,71.2,27.2,West
427,86,67.6,43.4,East
386.4,36.8,131.4,30.4,South
152.6,55,32,24,East
221.4,81.2,126.4,32,South
176.6,51,146.8,25.8,Central
219.6,95.6,102.8,33.4,West
268.6,9.8,18.6,22.4,East
57.2,3,66,14.6,Central
435.4,67,118,38.8,East
501.8,73,144.6,44.4,South
214.8,28,21.8,23,South
326.6,63.2,105.8,33.8,Central
395.2,7,11.8,23.4,Central
369.8,42,44,31,Central
579.4,84.6,102.4,50.8,East
270.4,83.4,91.8,34.4,East
444.8,8.6,99.6,23.4,East
592.8,72.6,201.8,47.6,East
560.4,20.2,42.8,29.6,Central
375.8,34.4,35.8,29.4,Central
476.4,68.6,10.6,41.4,Central
275.8,92.8,118,38.4,East
50,22,59.4,14.4,West
180.8,0.6,46.4,17.4,Central
26.2,0.8,51.2,10.6,South
510.8,53.8,11,39.6,East
451.6,16.4,113,26.8,South
483.4,76,46.4,43.6,West
351.4,30.8,4.8,28.2,West
419.2,41.2,21.4,31.8,West
156.4,93.6,69,29.2,West
150.2,70,105.4,25.2,Central
278.4,28.6,51.2,24.4,West
152.8,1.6,29.6,18.8,West
251.4,73.8,158.4,31.8,East
38.8,32,44.6,13.2,Central
282.6,53.6,92.4,31,East
37.6,43.4,100.8,14,South
448,4.8,31.2,23.2,Central
246.2,69.2,24.8,30.4,South
459,64.6,148.4,39.4,Central
174.4,23.6,51.8,21.2,South
15.6,77.8,101.2,13.2,Central
160.4,0,18.4,17.6,Central
440.6,98,6.4,49.4,South
119.2,24,86.2,19.4,South
1.4,79.2,17.4,3.2,Central
530.4,5.8,86,25.4,South
16.8,54.4,4.2,11.4,South
439.6,67,90.2,39.2,West
73.8,77.2,131.2,21.6,East
96.6,94,17,23.2,Central
51.2,78,18.6,19,West
547.4,57.8,119.4,41.6,Central
86,51.8,41,19.2,East
369.8,87.8,3.4,41.4,South
146.8,34,25.8,21.8,Central
387.4,70.8,151.2,38.4,West
441,66.4,75.8,40.2,West
209.2,11.4,68.8,20.8,East
192.4,29.6,77.8,22.8,West
280.6,3.8,18,20.6,East
480.2,14.6,17.4,26.4,East
486.4,98,88.6,50.8,East
76,80.6,23.8,21.8,West
89.4,51.6,41.2,20.2,South
561.4,27.8,74,32.2,West
242,16.8,97.4,23.2,Central
395.2,46.6,28.4,33.2,West
342.6,79.4,75.4,38,South
375.6,42.2,19,31.2,Central
8.2,23.2,11.4,6.4,East
187.8,87,101,30.6,Central
299.6,2.6,48.6,20.2,West
23.4,73.8,90.4,14.6,Central
263.4,36.8,69.2,25.8,East
345,36.2,61.4,28.8,Central
171.4,71.6,98.6,26.6,South
376.8,36.2,51.2,29.8,Central
327,73.6,14.8,36,Central
234.4,29.4,10.8,23.8,West
469,6.8,169.6,23.8,Central
35.8,75.2,43.2,16,Central
413.6,10.4,38.8,24.4,South
430.8,47.2,115.2,34.2,West
568.6,21.2,12.8,30,South
100,23.2,36.8,16.8,South
329,41.8,94.8,29,Central
39.2,40.2,34,15.2,East
336.8,14.2,25.6,23.4,West
444.8,6.8,26.2,23,West
553.8,97.8,83.6,54,West
496.8,60.4,40.6,40.4,South
340.4,15.6,70.4,23.4,Central
553.4,4.6,47.4,23.6,Central
331.2,20,35.2,25.2,South
313.2,5.2,16.6,21,South
437,10.8,54.8,24.4,West
112.4,11.4,59.4,17.4,South
575.2,86,143.6,52.4,East
507.6,42.6,60,35.2,West
410,90.2,39.2,45.2,East
279,4.2,53.2,20.6,South
382.2,57.4,36.4,34.6,East
572,27.8,7.4,31.8,East
37.4,24.2,46.8,13.4,Central
79,82.2,11.6,21.6,East
151,21.6,12,19.8,West
34.4,8.2,63.2,11.8,East
333.6,84,7.2,39.2,Central
299.4,71.2,12,34.6,South
76.4,7.4,27.6,15.2,South
188.4,9.8,16.2,19.4,East
354,18.6,12.8,25.6,East
567.2,84,132.4,51,South
464.2,17.2,17.4,26.8,Central
